# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1283
#@/user_id	945c0063-a64b-43b4-94e6-372738e7012b
a 	阿	c=1 d=1 t=829
wan shang 	晚上	c=3 d=1.34143 t=1283
wang 	网	c=1 d=1 t=979
wang yuan yuan 	王原原	c=1 d=1 t=832
wei le 	为了	c=1 d=1 t=756
wei ruan 	微软	c=1 d=0.318224 t=1283
wei shen me 	为什么	c=2 d=1.91393 t=1070
wen jian 	文件	c=4 d=0.943752 t=1283
wen ti bu da 	问题不大	c=1 d=0.755784 t=1283
wen xin yi yan 	文心一言	c=1 d=1 t=613
wo 	我	c=7 d=1.33466 t=1283
wo ai 	我爱	c=0 d=0.0289384 t=1283
wo ai ai 	我爱爱	c=1 d=0.290835 t=1283
wo hao xiang 	我好像	c=1 d=0.852144 t=1283
wo lao po 	我牢婆	c=6 d=1.70285 t=1283
wo lao po 	我老婆	c=56 d=8.88436 t=1283
wo lao po ai ai 	我老婆爱爱	c=2 d=1.09899 t=1283
wo lao po bang bang 	我老婆棒棒	c=1 d=1 t=418
wo lao po bu jian le 	我老婆不见了	c=1 d=0.227638 t=1283
wo lao po ne 	我老婆呢	c=1 d=1 t=999
wo lao po yao xiao xin 	我老婆要小心	c=1 d=0.25284 t=1283
wo lao po zhu yi 	我老婆注意	c=1 d=0.284001 t=1283
wo lao po zhu yi dian 	我老婆注意点	c=1 d=0.261846 t=1283
wo shi 	我是	c=8 d=1.95912 t=1283
wo shi da pang yang 	我是大胖羊	c=1 d=0.45612 t=1283
wo shi mei tian 	我是每天	c=1 d=0.14808 t=1283
wo xiang 	我想	c=10 d=5.1557 t=788
wo xiao ju 	我小居	c=1 d=1 t=817
wu 	吾	c=1 d=0.293758 t=1283
wu 	无	c=5 d=4.72516 t=1031
wu ai po jie 	吾爱破解	c=1 d=1 t=720
wu nong 	务农	c=2 d=1.99501 t=1123
wu song 	雾凇	c=3 d=1.04763 t=1223
xi cha 	喜茶	c=1 d=1 t=759
xi le 	洗了	c=1 d=1 t=877
xi shu 	洗漱	c=1 d=1 t=726
xi wan 	洗完	c=1 d=1 t=1202
xi yi fu 	洗衣服	c=1 d=1 t=719
xi yi xia 	洗一下	c=1 d=1 t=542
xi zao 	洗澡	c=0 d=0.0995012 t=1283
xi zao shi ke 	洗澡时刻	c=1 d=1 t=1283
xia da yu 	下大雨	c=1 d=1 t=1130
xia mian 	下面	c=1 d=1 t=914
xia yu 	下雨	c=2 d=0.90436 t=1283
xia zai 	下载	c=3 d=1.99027 t=1056
xian 	仙	c=0 d=0.0918512 t=1283
xian zai 	现在	c=2 d=0.585669 t=1283
xiang lao gong 	想老公	c=1 d=0.216536 t=1283
xiang lao po 	想老婆	c=1 d=0.878719 t=1283
xiang lao po la 	想老婆啦	c=1 d=0.341298 t=1283
xiang lao po le 	想老婆了	c=11 d=3.5864 t=1283
xiang ni le 	想你了	c=1 d=0.231584 t=964
xiang ni le lao ju 	想你了牢居	c=1 d=1 t=965
xiang ni le lao po 	想你了牢婆	c=1 d=1 t=895
xiao 	小	c=1 d=1 t=659
xiao ju 	小居	c=3 d=0.256661 t=1283
xiao ju yang 	小居羊	c=2 d=1.97045 t=678
xiao lang hao 	小狼毫	c=5 d=0.625285 t=1283
xiao long xia 	小龙虾	c=1 d=1 t=957
